Species,Gene,TF,Position,Score,Relative Score
O. niloticus ,ANKS4B,RUNX1,264,11.559362411499025,0.9288390196274864
O. niloticus ,ANKS4B,TFAP2A,852,9.538615226745604,0.9721578179736814
O. niloticus ,ANKS4B,TFAP2A,933,8.84136962890625,0.9494052288353
O. niloticus ,ANKS4B,ELK1,-240,10.037899017333984,0.9458191770161672
O. niloticus ,ANKS4B,FOXC1,43,5.723137378692628,0.902195468440234
O. niloticus ,ANKS4B,FOXC1,67,5.9455299377441415,0.9146355498491532
O. niloticus ,ANKS4B,FOXC1,-780,6.138175010681152,0.9254116315696236
O. niloticus ,ANKS4B,FOXC1,-747,5.81624698638916,0.9074037861314258
O. niloticus ,ANKS4B,FOXC1,256,6.079281330108643,0.9221172669383716
O. niloticus ,ANKS4B,FOXC1,271,5.9861717224121085,0.91690894924718
O. niloticus ,ANKS4B,FOXC1,-723,5.723137378692628,0.902195468440234
O. niloticus ,ANKS4B,FOXC1,-617,5.9861717224121085,0.91690894924718
O. niloticus ,ANKS4B,FOXC1,385,5.723137378692628,0.902195468440234
O. niloticus ,ANKS4B,FOXC1,-604,6.401209354400635,0.9401251123765694
O. niloticus ,ANKS4B,FOXC1,-491,5.9861717224121085,0.91690894924718
O. niloticus ,ANKS4B,FOXC1,-355,6.500744819641112,0.945692876405848
O. niloticus ,ANKS4B,FOXL1,99,6.584742069244385,0.9034562872811872
O. niloticus ,ANKS4B,FOXL1,166,7.911375522613525,0.9635821236954498
O. niloticus ,ANKS4B,FOXL1,177,7.157987594604492,0.9294369879754726
O. niloticus ,ANKS4B,FOXL1,214,6.6809120178222665,0.9078149129297992
O. niloticus ,ANKS4B,FOXL1,-700,7.4615235328674325,0.9431938792429876
O. niloticus ,ANKS4B,FOXL1,311,6.907219409942628,0.918071643003514
O. niloticus ,ANKS4B,FOXL1,-689,6.8155670166015625,0.9139177625213012
O. niloticus ,ANKS4B,FOXL1,320,7.254157543182372,0.9337956136240848
O. niloticus ,ANKS4B,FOXL1,-613,8.141664505004883,0.974019307868746
O. niloticus ,ANKS4B,FOXL1,503,7.157987594604492,0.9294369879754726
O. niloticus ,ANKS4B,FOXL1,-330,6.888278007507324,0.917213178548702
O. niloticus ,ANKS4B,FOXL1,714,6.6809120178222665,0.9078149129297992
O. niloticus ,ANKS4B,Gata1,-892,5.315310001373291,0.9026352714412168
O. niloticus ,ANKS4B,Gata1,250,5.438652515411377,0.9093459716348796
O. niloticus ,ANKS4B,Gata1,340,6.922239303588867,0.990063526521626
O. niloticus ,ANKS4B,Gata1,484,5.574619770050049,0.9167435465031348
O. niloticus ,ANKS4B,Gata1,-462,5.438652515411377,0.9093459716348796
O. niloticus ,ANKS4B,Gata1,-450,5.574619770050049,0.9167435465031348
O. niloticus ,ANKS4B,Gata1,-447,5.315310001373291,0.9026352714412168
O. niloticus ,ANKS4B,Gata1,688,5.612632751464844,0.9188117200257144
O. niloticus ,ANKS4B,Gata1,-80,5.315310001373291,0.9026352714412168
O. niloticus ,ANKS4B,GATA2,-891,5.558889865875244,0.9365715795989612
O. niloticus ,ANKS4B,GATA2,-849,5.778176784515381,0.9493024661993374
O. niloticus ,ANKS4B,GATA2,250,5.778176784515381,0.9493024661993374
O. niloticus ,ANKS4B,GATA2,314,6.232020378112793,0.9756507379531928
O. niloticus ,ANKS4B,GATA2,-674,6.232020378112793,0.9756507379531928
O. niloticus ,ANKS4B,GATA2,340,5.558889865875244,0.9365715795989612
O. niloticus ,ANKS4B,GATA2,344,6.651431560516357,1.0000000070989363
O. niloticus ,ANKS4B,GATA2,484,5.105045795440674,0.9102232801619232
O. niloticus ,ANKS4B,GATA2,-461,5.778176784515381,0.9493024661993374
O. niloticus ,ANKS4B,GATA2,-449,5.105045795440674,0.9102232801619232
O. niloticus ,ANKS4B,GATA2,-446,5.558889865875244,0.9365715795989612
O. niloticus ,ANKS4B,GATA2,568,5.105045795440674,0.9102232801619232
O. niloticus ,ANKS4B,GATA2,623,6.232020378112793,0.9756507379531928
O. niloticus ,ANKS4B,GATA2,-117,5.105045795440674,0.9102232801619232
O. niloticus ,ANKS4B,GATA2,-79,5.558889865875244,0.9365715795989612
O. niloticus ,ANKS4B,GATA3,-850,6.893784523010254,0.9373103169902236
O. niloticus ,ANKS4B,GATA3,163,6.223670482635497,0.909198029879248
O. niloticus ,ANKS4B,GATA3,314,6.42296314239502,0.9175586552843452
O. niloticus ,ANKS4B,GATA3,-675,6.42296314239502,0.9175586552843452
O. niloticus ,ANKS4B,GATA3,335,6.223670482635497,0.909198029879248
O. niloticus ,ANKS4B,GATA3,623,7.1894307136535645,0.949713117250882
O. niloticus ,ANKS4B,GATA3,688,7.422361373901367,0.9594849071303678
O. niloticus ,ANKS4B,Gfi1,-220,9.440807342529297,0.9056605942971389
O. niloticus ,ANKS4B,Klf4,-22,8.951051712036133,0.9196052178675828
O. niloticus ,ANKS4B,Foxd3,-949,12.558639526367188,0.9201183688057286
O. niloticus ,ANKS4B,FOXI1,484,11.00927734375,0.9015614052746712
O. niloticus ,ANKS4B,Foxa2,888,11.17603874206543,0.9104120930009564
O. niloticus ,ANKS4B,IRF1,79,13.45643138885498,0.9147661264042508
O. niloticus ,ANKS4B,Nkx2-5,57,7.516627311706543,0.927507755175936
O. niloticus ,ANKS4B,Nkx2-5,-942,7.837449550628662,0.940424332924792
O. niloticus ,ANKS4B,Nkx2-5,202,7.007399082183838,0.9070057910956374
O. niloticus ,ANKS4B,Nkx2-5,-797,7.328220844268799,0.9199223496466216
O. niloticus ,ANKS4B,Nkx2-5,257,6.870297908782959,0.9014859805873588
O. niloticus ,ANKS4B,Nkx2-5,-712,7.328220844268799,0.9199223496466216
O. niloticus ,ANKS4B,Nkx2-5,362,7.418769359588622,0.9235679103225318
